sleeper_id,name,position,nfl_team,age,fc_offense_rank,dhq_offense_rank,overall_rank_delta,fc_position_rank,dhq_position_rank,position_rank_delta,fc_value,dhq_value,value_delta,value_delta_pct,fc_trend_30d,dhq_source,ppg,starter_seasons,league_starter_pool,replacement_line_ppg,age_curve_phase,fc_weight
5849,Kyler Murray,QB,MIN,28.7,82,77,-5,23,23,0,2875,2642,-233,-8.1,-324,DHQ_FC_BLEND,6.605,1,,,,25
8148,Jameson Williams,WR,DET,25.1,83,79,-4,30,29,-1,2859,2577,-282,-9.9,-139,DHQ_FC_BLEND,6.4425,1,,,,25
7553,Kyle Pitts,TE,ATL,25.6,84,81,-3,9,9,0,2839,2499,-340,-12,-142,DHQ_FC_BLEND,6.2475,1,,,,25
9228,Bryce Young,QB,CAR,24.8,85,83,-2,24,24,0,2762,2425,-337,-12.2,-75,DHQ_FC_BLEND,6.0625,1,,,,25
13275,Ty Simpson,QB,LAR,23.4,86,100,14,25,28,3,2684,1884,-800,-29.8,411,FC_ROOKIE,4.71,0,,,,25
5870,Daniel Jones,QB,IND,28.9,87,87,0,26,25,-1,2647,2306,-341,-12.9,-67,DHQ_FC_BLEND,5.765,1,,,,25
13276,Omar Cooper,WR,NYJ,22.4,88,104,16,31,39,8,2623,1844,-779,-29.7,297,FC_ROOKIE,4.61,0,,,,25
8161,Malik Willis,QB,MIA,26.9,89,90,1,27,26,-1,2557,2202,-355,-13.9,102,DHQ_FC_BLEND,5.505,1,,,,25
421,Matthew Stafford,QB,LAR,38.2,90,92,2,28,27,-1,2549,2047,-502,-19.7,95,DHQ_FC_BLEND,5.1175,1,,,,25
13349,Eli Stowers,TE,PHI,23.1,91,98,7,10,11,1,2528,1893,-635,-25.1,301,FC_ROOKIE,4.7325,0,,,,25
3198,Derrick Henry,RB,BAL,32.3,92,89,-3,23,23,0,2523,2214,-309,-12.2,107,DHQ_FC_BLEND,5.535,1,,,,25
13346,Denzel Boston,WR,CLE,22.4,93,85,-8,32,30,-2,2310,2376,66,2.9,-277,FC_ROOKIE,5.94,0,,,,25
9756,Jordan Addison,WR,MIN,24.3,94,94,0,33,34,1,2310,2011,-299,-12.9,-46,DHQ_FC_BLEND,5.0275,1,,,,25
4983,DJ Moore,WR,BUF,29.1,95,88,-7,34,32,-2,2302,2239,-63,-2.7,-123,DHQ_FC_BLEND,5.5975,1,,,,25
12493,Oronde Gadsden,TE,LAC,22.9,96,95,-1,11,10,-1,2279,2005,-274,-12,-47,DHQ_FC_BLEND,5.0125,1,,,,25
8142,Alec Pierce,WR,IND,26,97,93,-4,35,33,-2,2265,2027,-238,-10.5,-57,DHQ_FC_BLEND,5.0675,1,,,,25
12489,RJ Harvey,RB,DEN,25.2,98,96,-2,24,25,1,2261,1944,-317,-14,15,DHQ_FC_BLEND,4.86,1,,,,25
12490,Bhayshul Tuten,RB,JAX,23.2,99,99,0,25,26,1,2256,1884,-372,-16.5,40,DHQ_FC_BLEND,4.71,1,,,,25
5846,DK Metcalf,WR,PIT,28.4,100,114,14,36,42,6,2183,1706,-477,-21.9,213,DHQ_FC_BLEND,4.265,1,,,,25
2133,Davante Adams,WR,LAR,33.4,101,97,-4,37,35,-2,2150,1900,-250,-11.6,44,DHQ_FC_BLEND,4.75,1,,,,25
5927,Terry McLaurin,WR,WAS,30.6,102,108,6,38,40,2,2118,1802,-316,-14.9,-1,DHQ_FC_BLEND,4.505,1,,,,25
6790,D'Andre Swift,RB,CHI,27.3,103,109,6,26,28,2,2113,1768,-345,-16.3,37,DHQ_FC_BLEND,4.42,1,,,,25
10232,Michael Wilson,WR,ARI,26.2,104,103,-1,39,38,-1,2087,1858,-229,-11,2,DHQ_FC_BLEND,4.645,1,,,,25
9500,Josh Downs,WR,IND,24.7,105,145,40,40,59,19,2083,1417,-666,-32,511,DHQ_FC_BLEND,3.5425,0,,,,25
12501,Matthew Golden,WR,GB,22.8,106,117,11,41,45,4,2082,1700,-382,-18.3,161,DHQ_FC_BLEND,4.25,1,,,,25
13345,Jonah Coleman,RB,DEN,22.7,107,84,-23,27,22,-5,2068,2409,341,16.5,-424,FC_ROOKIE,6.0225,0,,,,25
5892,David Montgomery,RB,HOU,28.9,108,110,2,28,29,1,2061,1757,-304,-14.8,63,DHQ_FC_BLEND,4.3925,1,,,,25
7594,Chuba Hubbard,RB,CAR,26.9,109,124,15,29,32,3,2056,1606,-450,-21.9,205,DHQ_FC_BLEND,4.015,1,,,,25
12530,Travis Hunter,WR,JAX,23,110,102,-8,42,37,-5,2046,1872,-174,-8.5,-113,DHQ_FC_BLEND,4.68,1,,,,25
4217,George Kittle,TE,SF,32.6,111,107,-4,12,13,1,2032,1810,-222,-10.9,-50,DHQ_FC_BLEND,4.525,1,,,,25
8110,Jake Ferguson,TE,DAL,27.3,112,112,0,13,14,1,2025,1717,-308,-15.2,30,DHQ_FC_BLEND,4.2925,1,,,,25
13311,Chris Bell,WR,MIA,21.9,113,144,31,43,58,15,1992,1419,-573,-28.8,297,FC_ROOKIE,3.5475,0,,,,25
11638,Ricky Pearsall,WR,SF,25.7,114,118,4,44,46,2,1968,1678,-290,-14.7,-5,DHQ_FC_BLEND,4.195,1,,,,25
2216,Mike Evans,WR,SF,32.7,115,115,0,45,43,-2,1921,1704,-217,-11.3,-70,DHQ_FC_BLEND,4.26,1,,,,25
8167,Christian Watson,WR,GB,27,116,119,3,46,47,1,1920,1667,-253,-13.2,-45,DHQ_FC_BLEND,4.1675,1,,,,25
8126,Wan'Dale Robinson,WR,TEN,25.3,117,101,-16,47,36,-11,1905,1872,-33,-1.7,-279,DHQ_FC_BLEND,4.68,1,,,,25
11624,Xavier Worthy,WR,KC,23,118,128,10,48,50,2,1903,1567,-336,-17.7,80,DHQ_FC_BLEND,3.9175,1,,,,25
10222,Jayden Reed,WR,GB,26,119,139,20,49,55,6,1889,1456,-433,-22.9,214,DHQ_FC_BLEND,3.64,0,,,,25
10236,Dalton Kincaid,TE,BUF,26.5,120,121,1,14,15,1,1878,1651,-227,-12.1,-103,DHQ_FC_BLEND,4.1275,1,,,,25
6819,Michael Pittman,WR,PIT,28.6,121,111,-10,50,41,-9,1861,1741,-120,-6.4,-127,DHQ_FC_BLEND,4.3525,1,,,,25
11559,Michael Penix,QB,ATL,26,122,126,4,29,29,0,1848,1598,-250,-13.5,11,DHQ_FC_BLEND,3.995,1,,,,25
8131,Isaiah Likely,TE,NYG,26,123,105,-18,15,12,-3,1846,1830,-16,-0.9,-209,DHQ_FC_BLEND,4.575,1,,,,25
13288,Nicholas Singleton,RB,TEN,22.3,124,125,1,30,33,3,1844,1604,-240,-13,-48,FC_ROOKIE,4.01,0,,,,25
13274,Germie Bernard,WR,PIT,22.4,125,157,32,51,63,12,1817,1296,-521,-28.7,265,FC_ROOKIE,3.24,0,,,,25
9487,Parker Washington,WR,JAX,24.1,126,116,-10,52,44,-8,1817,1702,-115,-6.3,-315,DHQ_FC_BLEND,4.255,1,,,,25
